https://github.com/EthanShengFrancis/Homework-Week-9/raw/refs/heads/main/data/Malaysia_choropleth.xlsx,Country,2023,2022,Growth %
1,SINGAPORE,18855680,14828553,27.2
2,INDONESIA,4145127,3479392,19.1
3,CHINA,3725894,1613312,130.9
4,THAILAND,2268182,2300158,-1.4
5,BRUNEI,1732119,1116211,55.2
6,INDIA,1365387,773221,76.6
7,PHILIPPINES,571533,461787,23.8
8,SOUTH KOREA,553165,465617,18.8
9,AUSTRALIA,447785,400909,11.7
10,CHINESE TAIPEI,423117,311437,35.9
11,UNITED KINGDOM,390035,306926,27.1
12,JAPAN,367182,277559,32.3
13,VIETNAM,366525,374181,-2
14,UNITED STATES,304880,257533,18.4
15,FRANCE,183872,132311,39
16,GERMANY,170712,137977,23.7
17,BANGLADESH,154596,153093,1
18,MYANMAR,147133,102587,43.4
19,RUSSIA,130998,129514,1.1
20,PAKISTAN,106388,111245,-4.4
